sentence|offsets|correction|old_type|new_type|comment
"On the other hand , the theatre restaurant was closed because unknown reasons ."|0 4|for|R:OTHER|R:PREP|A subordinate conjuction that needs to be replaced with a preposition- different POS
"On the other hand , the theatre restaurant was closed because unknown reasons ."|0 4|for|R:OTHER|R:CONJ|A subordinate conjuction that needs to be replaced with a preposition- different POS
"There was only a person who used to call her by this name ."|3 4|one|R:OTHER|R:DET|Cardinal numbers can be considered determiners
"At this moment Carole was living with her husband but they did n't love each other any more ."|1 3||R:OTHER||
"It was so long time to wait in the theatre ."|2 3||R:OTHER||
"I WANT TO THAK YOU FOR PREPARING SUCH A GOOD PROGRAMME FOR US AND ESPECIALLY FOR TAKING US TO THE RIVER TRIP TO GREENWICH ."|18 19|on|R:OTHER|R:PREP|
"I WOULD LIKE TO KNOW IF THERE IS ANY CHANCE OF CHANGING THE PROGRAMME BECAUSE WE HAVE FOUND A VERY INTERESTING ACTIVITY TO DO ON TUESDAY 14 MARCH . IT CONSISTS ON VISITING THE LONDON FASHION AND LEISURE SHOW IN THE CENTRAL EXHIBITION HALL ."|30 32|involves|R:OTHER|R:VERB|Two-token mistake.
"ON THE OTHER HAND , WE COULD LEARN THE DIFFERENT WAYS TO GET TO THE CENTRAL EXHIBITION HALL ."|0 4||R:OTHER||
"I WILL BE WRITING ANXIOUSLY FOR YOUR RESPONSE ."|3 4|waiting|R:OTHER|R:VERB|
"THIS SITUATION AFFECTS FAMOUS PERSONAL LIVES BECAUSE THEY ARE NOT ALLOWED TO HAVE PRIVACY"|4 6||R:OTHER||
"THE MOST IMPORTANT THING IS THAT , ALTHOUGH THEY ARE FAMOUS , THEY ARE JUST NORMAL PEOPLE THAT DESERVE TO HAVE A PRIVATE LIFE WITHOUT JOURNALISTS AND FANS FOLLOWING THEM ALL THE TIME , AND ON THE OTHER HAND PEOPLE HAVE TO LEARN TO RESPECT THE FAMOUS RIGHT TO KEEP THEIR PERSONAL LIVES IN SECRET ."|46 48||R:OTHER|NOUN:POSS|Clearly a possessive case issue, however, it does not satisfy the requirements to be in the M,R,U categories
"It is in the Central Exhibition Hall and will start and ten o'clock and finish at five o'clock in the evening ."|10 11|at|R:OTHER|M:PREP|
"Unfortunately , only six countries were represented this year at the festival , but I hope that soon there would be much more of them ."|21 22|many|R:OTHER|R:DET|Quantifiers can be used as determiners before nouns
"Then , I want to say , that plays and films were exellent , but it was n't enough of them for me ."|15 16|there|R:OTHER||
"And at the end , my opinion is that one weekend ticket for all events is a great idea , because you do n't have to stay in queues to buy a ticket for a show , you want to go to ."|1 4||R:OTHER||
"What are you dong here , why are n't you at school ? '"|3 4|doing|R:OTHER|R:SPELL|
"Paul was like paralyzed ."|2 3||U:OTHER||
"If no , what do you sugest ?"|1 2|not|R:OTHER|R:MORPH|
"Other thing I had to do is keep an eye in the towels , I mean , dried towels because as you know that country is too hot , especially for my liking , as they have to change the clothes and looks fresh ; do n't ask me why ."|34 35|and|R:OTHER|M:CONJ|
"But what I particularly liked was see and ask autographs from the rest of the others groups ."|6 17||R:OTHER||
"The festival was excenent in many ways , and especially it being an international festival was a challenging , but brilliant idea ."|9 10||R:OTHER||
"Furthermore , I found that there were not many genres of neither the films nor the plays ."|11 15||R:OTHER||
"So I suggest you have various kinds , and more numbers of plays and films next year ."|10 12||U:OTHER||
"I was very disappointing a week holiday for me because I had got a lot of problem with the show ."|7 9||U:OTHER||
"When I went to asked for the discount of ticket in the cashier desk they told me no discount available for this ."|20 22||U:OTHER||
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen ."|1 1||M:OTHER||
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen ."|14 14||M:OTHER||
"The carbon dioxide are growing very fast and people cut more trees , therefore not enough trees to such carbon dioxide and produce oxygen ."|18 19||R:OTHER||
"I think I can win this price , because this clothe will produce in the future soon ."|14 17||R:OTHER||
"MY NAME JAMES CAMIREZ AND I'AM WRITING THIS LETTER TO YOU BECAUSE I HAVE SOME COMPLEINTS FOR THE DISAPPOINTING EVENING I HAD LAST NIGHT ."|5 6|I am|R:OTHER|R:CONTR|
"FIRST OF ALL ON THE ADVERTISEMENT FOR THE SHOW IT SAYS THAT THE ACTOR WAS GOING TO BE DANNY BROOK AND INSTEAD OF HIM WAS A TOTALLY UNKNOWN CLOWN THAT HAD NO IDEA OF HOW TO ACT , IT WAS HORRIBLY DISAPPOINTING !"|3 4|in|R:OTHER|R:PREP|
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DIDN'T START YET ... I MEAN I WAS AMAIZING !"|14 15|states|R:OTHER|R:VERB|
"SECOND I GOT TO THE THEATRE AT 19.20 BECAUSE IN THE ADVERTISEMENT IT CLEARLY APPEARS THAT THE SHOW STARTS AT 19.30 , AND I GOT HEAVILY MAD WHEN I LOOK MY WATCH AND NOTICE THAT I HAD BEEN WAITING FOR 40 ( FORTY ) MINUTES AND THE SHOW DIDN'T START YET ... I MEAN I WAS AMAIZING !"|25 26|really|R:OTHER|R:ADV|
"OH I'M GETING MAD AGAIN SO I'AM GOING TO TELL YOU THE LAST THING , IT WAS THE HORRIBLE NIGHT I HAD EVER GOT SO I DEMEND FOR MY MONEY BACK !"|6 7|I am|R:OTHER|R:CONTR|
